stem,selected_instances,all_instances,selected_indices,selected_mean_abs_rgb_diff,control_mean_abs_rgb_diff,background_mean_abs_rgb_diff,selected_changed_ratio_diff_gt8,control_changed_ratio_diff_gt8,background_changed_ratio_diff_gt8,label_sha256_equal,depth_sha256_equal
IMG_0042_20260519031143862,1,3,1,78.12825775146484,1.763114333152771,0.9173567295074463,1.0,0.012146176594845796,0.012495737234138023,True,True
IMG_0043_20260531183035107,3,4,0|1|2,101.6049575805664,0.7433119416236877,1.6798279285430908,0.9713277141416324,0.0,0.0374260915508869,True,True
IMG_0045_20260601195547068,2,5,1|4,61.44388961791992,1.7571618556976318,0.7381830811500549,0.919303234980448,0.02587550659877377,0.013669279189241317,True,True
IMG_0046_20260519033439381,1,3,1,66.59217071533203,1.2726799249649048,1.3865805864334106,0.9960532807104094,0.003709488481062085,0.027067898714585426,True,True
IMG_0046_20260519201339886,1,4,2,12.14157485961914,3.586636543273926,0.9124919772148132,0.25107193901858027,0.09389041647106164,0.008823600876112062,True,True
IMG_0046_20260602035223195,3,4,0|2|3,24.666147232055664,0.6879280209541321,2.6858644485473633,0.3298004324554252,0.0,0.057524081703708,True,True
IMG_0047_20260519035559355,2,3,0|1,60.20389938354492,2.6970126628875732,1.8298671245574951,0.7201750345462921,0.04622909435153045,0.03773329256937979,True,True
IMG_0048_20260519034456284,1,3,0,13.09965705871582,0.9498154520988464,0.8696702718734741,0.4777925091150149,0.0012953367875647669,0.013765826125511115,True,True
IMG_0049_20260519031144668,1,3,1,56.68599319458008,1.7298284769058228,0.6305310130119324,0.9754549301735083,0.00373704773229149,0.006367231619139912,True,True
IMG_0049_20260602205100177,2,4,0|3,73.97834777832031,4.592950820922852,0.7371640801429749,0.9898538961038961,0.13841635050789378,0.01143375435804409,True,True
IMG_0050_20260519065645853,2,4,0|3,8.581297874450684,6.634730815887451,1.1712312698364258,0.17737556561085974,0.16402346295893983,0.023897217755183206,True,True
IMG_0051_20260519032248155,1,3,0,20.730009078979492,1.1778924465179443,0.8031261563301086,0.4287058191103346,0.00435981848918943,0.01487938444475253,True,True
IMG_0052_20260519064453502,2,4,1|3,31.013315200805664,0.5595588684082031,0.9963884949684143,0.4384193827516585,0.0,0.020785786656568862,True,True
IMG_0052_20260531041349653,1,2,1,15.234811782836914,2.758888006210327,0.6228035688400269,0.4592871631411185,0.03974498880018379,0.007676242762050444,True,True
IMG_0052_20260601221141034,2,4,1|2,80.28861999511719,3.875608444213867,1.2016226053237915,0.8790496760259179,0.07300636465743167,0.025085026613242918,True,True
IMG_0053_20260519030525515,1,2,0,35.11252212524414,1.6173242330551147,1.636244773864746,0.7537412388709983,0.011010296666326842,0.038607831037572385,True,True
IMG_0054_20260601030928665,1,2,1,20.372753143310547,5.92681884765625,1.3760219812393188,0.2979996077662287,0.2018672951414068,0.03454811209253859,True,True
IMG_0055_20260519031058066,1,4,2,79.65143585205078,18.387155532836914,0.8790536522865295,0.984152732717744,0.14685017026106698,0.012341766641709181,True,True
IMG_0055_20260602191353127,2,4,0|1,7.964578628540039,1.221781849861145,1.1789417266845703,0.16816888045540798,0.002596337797212353,0.025637036385651377,True,True
IMG_0056_20260519061055960,3,5,1|3|4,27.951133728027344,1.7390259504318237,1.3844339847564697,0.3405728247590607,0.00102880658436214,0.030739637918822112,True,True
IMG_0057_20260519032248911,2,4,0|1,46.077110290527344,0.4720557928085327,1.2863473892211914,0.9771033981464655,0.0,0.024479123490563432,True,True
IMG_0057_20260519034409793,2,4,0|1,48.48255920410156,2.0745186805725098,1.6004148721694946,0.6126310989512084,0.010970813496170566,0.03806919008028011,True,True
IMG_0057_20260519034544769,2,4,0|2,119.02831268310547,3.8435044288635254,1.8160134553909302,0.9708182184602983,0.08066465256797584,0.042876991954989105,True,True
IMG_0058_20260519034457462,1,3,1,98.7622299194336,1.4979287385940552,0.7863092422485352,0.9859289291676604,0.010311614730878186,0.0106678431429274,True,True
IMG_0059_20260519061056327,3,5,0|3|4,33.15256881713867,0.6216898560523987,1.0303632020950317,0.35196724230016024,0.0,0.0226372904999282,True,True
IMG_0060_20260519030836162,2,3,0|1,59.84182357788086,1.2092572450637817,1.351871132850647,0.75380298331118,0.00791974656810982,0.02793353532306933,True,True
IMG_0062_20260519031146215,1,4,1,10.042997360229492,1.067652940750122,0.868923008441925,0.1902752662246333,0.003998400639744102,0.018051492408890885,True,True
IMG_0063_20260519061716348,2,3,0|1,54.18730545043945,0.509560763835907,0.8948587775230408,0.5155792276964047,0.0,0.017226062050868678,True,True
IMG_0065_20260531192555298,3,4,1|2|3,62.851539611816406,1.8087233304977417,1.3736934661865234,0.8942399881997197,0.010676965015901863,0.034047967251995756,True,True
IMG_0065_20260531192905590,3,5,0|1|2,26.33126449584961,10.353690147399902,1.2265589237213135,0.36739923895317234,0.28934077618288145,0.03389165793170328,True,True
IMG_0066_20260519032202512,2,4,0|2,82.35585021972656,1.3197097778320312,1.8761024475097656,0.7646205458337111,0.001326963906581741,0.037482515569265705,True,True
IMG_0068_20260519195224419,3,3,0|1|2,4.540163993835449,nan,2.939255714416504,0.08139351376943108,nan,0.06085065317504808,True,True
IMG_0069_20260531201543104,1,3,2,82.96873474121094,4.310729503631592,1.2755835056304932,0.9831425336520317,0.11325661530459658,0.026637111339990745,True,True
IMG_0071_20260601212552053,1,4,2,44.98097610473633,1.6664010286331177,0.49639692902565,0.5212247738343772,0.0328068613207105,0.004113533525298231,True,True
IMG_0072_20260519030043290,2,3,0|1,95.05236053466797,1.4416673183441162,1.0982704162597656,0.9890287994015708,0.01698154818789973,0.026672409446171948,True,True
IMG_0074_20260519025337471,2,3,0|1,20.033798217773438,0.8300123810768127,1.3904680013656616,0.5200021711990447,0.0006754474839581223,0.03215005458056932,True,True
IMG_0074_20260531055939073,2,3,0|1,11.376739501953125,4.449800968170166,1.312123417854309,0.21597287834157727,0.14176610978520288,0.03434199894117975,True,True
IMG_0076_20260519030528237,2,3,0|1,87.732421875,0.57148277759552,2.1388003826141357,0.973188519859384,0.0,0.046545149535147635,True,True
IMG_0076_20260519032647937,2,2,0|1,83.10016632080078,nan,1.6793746948242188,0.8275635767022149,nan,0.03430392190095251,True,True
