image,depth,sample_group,module,gate_mode,shape,src_weight_mean,src_weight_std,src_weight_min,src_weight_max,depth_weight_mean,depth_weight_std,depth_weight_min,depth_weight_max,base_blend_weight,out_blend_weight
622_xinjiang_IMG_0009_20260519195352213.jpg,622_xinjiang_IMG_0009_20260519195352213.png,normal,model.37.coord_att,spatial_illum,1x1x40x40,0.8809784054756165,0.052754271775484085,0.3934975862503052,0.979282021522522,0.11902159452438354,0.052754271775484085,0.020717978477478027,0.6065024137496948,0.5461330413818359,0.4538668990135193
622_xinjiang_IMG_0009_20260519195352213.jpg,622_xinjiang_IMG_0009_20260519195352213.png,normal,model.38.coord_att,spatial_illum,1x1x20x20,0.750672459602356,0.11248796433210373,0.4143209159374237,0.9510737061500549,0.24932758510112762,0.11248796433210373,0.04892629384994507,0.5856790542602539,0.45556193590164185,0.5444381237030029
622_xinjiang_IMG_0009_20260519195352213_realexp.jpg,622_xinjiang_IMG_0009_20260519195352213_realexp.png,overexposed,model.36.coord_att,spatial_illum,1x1x80x80,0.9738206267356873,0.026700936257839203,0.4372188150882721,0.9982628226280212,0.026179416105151176,0.026700936257839203,0.0017371773719787598,0.5627812147140503,0.5456488728523254,0.4543510973453522
622_xinjiang_IMG_0009_20260519195352213_realexp.jpg,622_xinjiang_IMG_0009_20260519195352213_realexp.png,overexposed,model.37.coord_att,spatial_illum,1x1x40x40,0.8809717297554016,0.05250859633088112,0.40188515186309814,0.9803611040115356,0.11902826279401779,0.05250859633088112,0.019638895988464355,0.5981148481369019,0.5461330413818359,0.4538668990135193
622_xinjiang_IMG_0009_20260519195352213_realexp.jpg,622_xinjiang_IMG_0009_20260519195352213_realexp.png,overexposed,model.38.coord_att,spatial_illum,1x1x20x20,0.7501873970031738,0.1117992103099823,0.42393460869789124,0.9516761302947998,0.24981261789798737,0.1117992103099823,0.048323869705200195,0.5760654211044312,0.45556193590164185,0.5444381237030029
622_xinjiang_IMG_0012_20260602202801133.jpg,622_xinjiang_IMG_0012_20260602202801133.png,normal,model.36.coord_att,spatial_illum,1x1x80x80,0.9684898257255554,0.03453388065099716,0.517510175704956,0.9982616305351257,0.0315101332962513,0.03453388065099716,0.0017383694648742676,0.48248982429504395,0.5456488728523254,0.4543510973453522
622_xinjiang_IMG_0012_20260602202801133.jpg,622_xinjiang_IMG_0012_20260602202801133.png,normal,model.37.coord_att,spatial_illum,1x1x40x40,0.8528343439102173,0.06744154542684555,0.4325263500213623,0.986884355545044,0.1471657007932663,0.06744154542684555,0.013115644454956055,0.5674736499786377,0.5461330413818359,0.4538668990135193
622_xinjiang_IMG_0012_20260602202801133.jpg,622_xinjiang_IMG_0012_20260602202801133.png,normal,model.38.coord_att,spatial_illum,1x1x20x20,0.6974742412567139,0.14301617443561554,0.27378368377685547,0.9660962820053101,0.3025257885456085,0.14301617443561554,0.03390371799468994,0.7262163162231445,0.45556193590164185,0.5444381237030029
622_xinjiang_IMG_0012_20260602202801133_realexp.jpg,622_xinjiang_IMG_0012_20260602202801133_realexp.png,overexposed,model.36.coord_att,spatial_illum,1x1x80x80,0.9687106609344482,0.03415073826909065,0.5465436577796936,0.998256266117096,0.03128932788968086,0.03415073826909065,0.0017437338829040527,0.4534563422203064,0.5456488728523254,0.4543510973453522
622_xinjiang_IMG_0012_20260602202801133_realexp.jpg,622_xinjiang_IMG_0012_20260602202801133_realexp.png,overexposed,model.37.coord_att,spatial_illum,1x1x40x40,0.8535327911376953,0.0659874677658081,0.4587467312812805,0.9876543879508972,0.14646725356578827,0.0659874677658081,0.012345612049102783,0.5412532687187195,0.5461330413818359,0.4538668990135193
622_xinjiang_IMG_0012_20260602202801133_realexp.jpg,622_xinjiang_IMG_0012_20260602202801133_realexp.png,overexposed,model.38.coord_att,spatial_illum,1x1x20x20,0.698943018913269,0.14288140833377838,0.2789556682109833,0.9651890993118286,0.3010570704936981,0.14288140833377838,0.03481090068817139,0.7210443019866943,0.45556193590164185,0.5444381237030029
622_xinjiang_IMG_0012_20260602212716738.jpg,622_xinjiang_IMG_0012_20260602212716738.png,normal,model.36.coord_att,spatial_illum,1x1x80x80,0.9661335945129395,0.03703349083662033,0.43840575218200684,0.9975962042808533,0.03386643901467323,0.03703349083662033,0.0024037957191467285,0.5615942478179932,0.5456488728523254,0.4543510973453522
622_xinjiang_IMG_0012_20260602212716738.jpg,622_xinjiang_IMG_0012_20260602212716738.png,normal,model.37.coord_att,spatial_illum,1x1x40x40,0.8625141978263855,0.06240662932395935,0.3983440697193146,0.9817236661911011,0.1374858170747757,0.06240662932395935,0.018276333808898926,0.6016559600830078,0.5461330413818359,0.4538668990135193
622_xinjiang_IMG_0012_20260602212716738.jpg,622_xinjiang_IMG_0012_20260602212716738.png,normal,model.38.coord_att,spatial_illum,1x1x20x20,0.6904538869857788,0.1359124630689621,0.2738131582736969,0.9317856431007385,0.3095460832118988,0.1359124630689621,0.06821435689926147,0.7261868715286255,0.45556193590164185,0.5444381237030029
622_xinjiang_IMG_0012_20260602212716738_realexp.jpg,622_xinjiang_IMG_0012_20260602212716738_realexp.png,overexposed,model.36.coord_att,spatial_illum,1x1x80x80,0.9664649367332458,0.03620380163192749,0.4165264666080475,0.9975161552429199,0.033535100519657135,0.03620380163192749,0.002483844757080078,0.5834735631942749,0.5456488728523254,0.4543510973453522
622_xinjiang_IMG_0012_20260602212716738_realexp.jpg,622_xinjiang_IMG_0012_20260602212716738_realexp.png,overexposed,model.37.coord_att,spatial_illum,1x1x40x40,0.8633716702461243,0.061629001051187515,0.40699121356010437,0.9813432097434998,0.13662834465503693,0.061629001051187515,0.018656790256500244,0.5930087566375732,0.5461330413818359,0.4538668990135193
622_xinjiang_IMG_0012_20260602212716738_realexp.jpg,622_xinjiang_IMG_0012_20260602212716738_realexp.png,overexposed,model.38.coord_att,spatial_illum,1x1x20x20,0.6886866688728333,0.13717640936374664,0.24509844183921814,0.9326196908950806,0.311313271522522,0.13717640936374664,0.06738030910491943,0.7549015283584595,0.45556193590164185,0.5444381237030029
622_xinjiang_IMG_0014_20260519035642641.jpg,622_xinjiang_IMG_0014_20260519035642641.png,normal,model.36.coord_att,spatial_illum,1x1x80x80,0.9735334515571594,0.029625995084643364,0.4800581932067871,0.9980284571647644,0.026466520503163338,0.029625995084643364,0.0019715428352355957,0.5199418067932129,0.5456488728523254,0.4543510973453522
622_xinjiang_IMG_0014_20260519035642641.jpg,622_xinjiang_IMG_0014_20260519035642641.png,normal,model.37.coord_att,spatial_illum,1x1x40x40,0.8631150126457214,0.05416951701045036,0.3721194267272949,0.9803251624107361,0.13688494265079498,0.05416951701045036,0.019674837589263916,0.6278805732727051,0.5461330413818359,0.4538668990135193
622_xinjiang_IMG_0014_20260519035642641.jpg,622_xinjiang_IMG_0014_20260519035642641.png,normal,model.38.coord_att,spatial_illum,1x1x20x20,0.7042007446289062,0.13236382603645325,0.28818950057029724,0.9547909498214722,0.2957993447780609,0.13236382603645325,0.04520905017852783,0.7118104696273804,0.45556193590164185,0.5444381237030029
622_xinjiang_IMG_0014_20260519035642641_realexp.jpg,622_xinjiang_IMG_0014_20260519035642641_realexp.png,overexposed,model.36.coord_att,spatial_illum,1x1x80x80,0.9753082990646362,0.021440844982862473,0.6295630931854248,0.9977588653564453,0.024691639468073845,0.021440844982862473,0.0022411346435546875,0.3704369068145752,0.5456488728523254,0.4543510973453522
622_xinjiang_IMG_0014_20260519035642641_realexp.jpg,622_xinjiang_IMG_0014_20260519035642641_realexp.png,overexposed,model.37.coord_att,spatial_illum,1x1x40x40,0.8641051650047302,0.04943279176950455,0.535193145275116,0.9791622161865234,0.13589490950107574,0.04943279176950455,0.020837783813476562,0.46480685472488403,0.5461330413818359,0.4538668990135193
622_xinjiang_IMG_0014_20260519035642641_realexp.jpg,622_xinjiang_IMG_0014_20260519035642641_realexp.png,overexposed,model.38.coord_att,spatial_illum,1x1x20x20,0.7138281464576721,0.12198423594236374,0.3677336871623993,0.9480510354042053,0.28617188334465027,0.12198422849178314,0.05194896459579468,0.6322662830352783,0.45556193590164185,0.5444381237030029
622_xinjiang_IMG_0018_20260519031141201.jpg,622_xinjiang_IMG_0018_20260519031141201.png,normal,model.36.coord_att,spatial_illum,1x1x80x80,0.9724809527397156,0.030310584232211113,0.44952526688575745,0.9987080097198486,0.02751900441944599,0.030310584232211113,0.0012919902801513672,0.5504747629165649,0.5456488728523254,0.4543510973453522
