stem,module,selected_instances,all_instances,normal_selected_src,exposed_selected_src,selected_src_delta_exposed_minus_normal,selected_depth_delta_exposed_minus_normal,control_src_delta_exposed_minus_normal,background_src_delta_exposed_minus_normal,selected_vs_control_did_src,selected_vs_background_did_src,normal_selected_minus_background_src,exposed_selected_minus_background_src,selected_feature_area,control_feature_area
IMG_0012_20260602202801133,model.38.coord_att,1,4,0.7228556871414185,0.6922224760055542,-0.030633211135864258,0.030633211135864258,-0.004615664482116699,0.0019380450248718262,-0.02601754665374756,-0.032571256160736084,0.030841708183288574,-0.0017295479774475098,2.2783203125,17.3232421875
IMG_0012_20260602212716738,model.36.coord_att,2,4,0.9137693047523499,0.9218176603317261,0.00804835557937622,-0.00804835557937622,0.0015165209770202637,0.00014775991439819336,0.006531834602355957,0.007900595664978027,-0.05608844757080078,-0.048187851905822754,101.890625,270.3125
IMG_0012_20260602212716738,model.37.coord_att,2,4,0.8330870866775513,0.8459471464157104,0.01286005973815918,-0.01286005973815918,0.004407942295074463,0.0004954338073730469,0.008452117443084717,0.012364625930786133,-0.031301259994506836,-0.018936634063720703,25.47265625,67.578125
IMG_0012_20260602212716738,model.38.coord_att,2,4,0.4682464003562927,0.4360598623752594,-0.032186537981033325,0.032186537981033325,0.0010962486267089844,-0.0013812780380249023,-0.03328278660774231,-0.030805259943008423,-0.23003631830215454,-0.26084157824516296,6.3681640625,16.89453125
IMG_0014_20260519035642641,model.36.coord_att,1,1,0.8748742938041687,0.9584899544715881,0.08361566066741943,-0.08361566066741943,nan,7.778406143188477e-05,nan,0.08353787660598755,-0.10070502758026123,-0.01716715097427368,130.015625,0.0
IMG_0014_20260519035642641,model.37.coord_att,1,1,0.7819315195083618,0.8301210999488831,0.04818958044052124,-0.04818958044052124,nan,1.1205673217773438e-05,nan,0.04817837476730347,-0.08286702632904053,-0.03468865156173706,32.50390625,0.0
IMG_0014_20260519035642641,model.38.coord_att,1,1,0.47400590777397156,0.5925081968307495,0.11850228905677795,-0.11850228905677795,nan,0.007369875907897949,nan,0.11113241314888,-0.23496809601783752,-0.12383568286895752,8.1259765625,0.0
IMG_0018_20260519031141201,model.36.coord_att,1,3,0.9145501255989075,0.9487153887748718,0.034165263175964355,-0.034165263175964355,0.002559959888458252,0.00026547908782958984,0.031605303287506104,0.033899784088134766,-0.060275375843048096,-0.02637559175491333,84.46875,185.71875
IMG_0018_20260519031141201,model.37.coord_att,1,3,0.8245568871498108,0.8392517566680908,0.01469486951828003,-0.01469486951828003,-0.0012132525444030762,6.556510925292969e-06,0.015908122062683105,0.014688313007354736,-0.04127907752990723,-0.02659076452255249,21.1171875,46.4296875
IMG_0018_20260519031141201,model.38.coord_att,1,3,0.6108757257461548,0.5684112310409546,-0.042464494705200195,0.042464494705200195,-0.0039833784103393555,-0.004109740257263184,-0.03848111629486084,-0.03835475444793701,-0.11055999994277954,-0.14891475439071655,5.279296875,11.607421875
IMG_0020_20260519030212085,model.36.coord_att,1,3,0.9717614054679871,0.9762558341026306,0.004494428634643555,-0.004494428634643555,0.0019058585166931152,9.03010368347168e-05,0.0025885701179504395,0.004404127597808838,-0.0005995631217956543,0.0038045644760131836,36.5,356.421875
IMG_0020_20260519030212085,model.37.coord_att,1,3,0.8354769349098206,0.8407997488975525,0.005322813987731934,-0.005322813987731934,0.0009116530418395996,-1.6748905181884766e-05,0.004411160945892334,0.005339562892913818,-0.026627540588378906,-0.021287977695465088,9.125,89.10546875
IMG_0020_20260519030212085,model.38.coord_att,1,3,0.7076808214187622,0.693035364151001,-0.01464545726776123,0.01464545726776123,-0.0002307295799255371,-0.00032514333724975586,-0.014414727687835693,-0.014320313930511475,0.0064408183097839355,-0.007879495620727539,2.28125,22.2763671875
IMG_0021_20260519033301410,model.36.coord_att,1,3,0.925062358379364,0.9448409080505371,0.019778549671173096,-0.019778549671173096,0.003794550895690918,0.00012856721878051758,0.015983998775482178,0.019649982452392578,-0.048515498638153076,-0.028865516185760498,41.203125,158.015625
IMG_0021_20260519033301410,model.37.coord_att,1,3,0.905781090259552,0.9111833572387695,0.005402266979217529,-0.005402266979217529,0.0039215087890625,5.185604095458984e-06,0.0014807581901550293,0.00539708137512207,0.039186954498291016,0.044584035873413086,10.30078125,39.50390625
IMG_0021_20260519033301410,model.38.coord_att,1,3,0.7489267587661743,0.7309602499008179,-0.017966508865356445,0.017966508865356445,0.008376121520996094,-0.000470578670501709,-0.02634263038635254,-0.017495930194854736,0.026744723320007324,0.009248793125152588,2.5751953125,9.8759765625
IMG_0021_20260531180430128,model.36.coord_att,3,4,0.9491994976997375,0.9520378708839417,0.0028383731842041016,-0.0028383731842041016,0.00825810432434082,0.00044786930084228516,-0.005419731140136719,0.0023905038833618164,-0.0194283127784729,-0.017037808895111084,387.21875,117.703125
IMG_0021_20260531180430128,model.37.coord_att,3,4,0.8125967979431152,0.812827467918396,0.00023066997528076172,-0.00023066997528076172,0.0003808140754699707,0.0010412335395812988,-0.00015014410018920898,-0.0008105635643005371,-0.03871595859527588,-0.039526522159576416,96.8046875,29.42578125
IMG_0021_20260531180430128,model.38.coord_att,3,4,0.4860917329788208,0.4852340817451477,-0.0008576512336730957,0.0008576512336730957,-0.005631864070892334,0.004249453544616699,0.004774212837219238,-0.005107104778289795,-0.21768689155578613,-0.22279399633407593,24.201171875,7.3564453125
IMG_0023_20260519063608445,model.36.coord_att,3,5,0.9662817120552063,0.9714213013648987,0.005139589309692383,-0.005139589309692383,9.012222290039062e-05,0.00017529726028442383,0.005049467086791992,0.004964292049407959,-0.008161664009094238,-0.0031973719596862793,264.046875,67.8125
IMG_0023_20260519063608445,model.37.coord_att,3,5,0.8102423548698425,0.8108978271484375,0.0006554722785949707,-0.0006554722785949707,0.0001487135887145996,0.0006741881370544434,0.0005067586898803711,-1.8715858459472656e-05,-0.05648648738861084,-0.05650520324707031,66.01171875,16.953125
IMG_0023_20260519063608445,model.38.coord_att,3,5,0.7840386629104614,0.7856956124305725,0.001656949520111084,-0.001656949520111084,-0.0006658434867858887,0.005249679088592529,0.0023227930068969727,-0.0035927295684814453,0.05271047353744507,0.04911774396896362,16.5029296875,4.23828125
IMG_0023_20260531180517658,model.36.coord_att,1,4,0.9391852617263794,0.9603291749954224,0.02114391326904297,-0.02114391326904297,0.0008272528648376465,0.0001296401023864746,0.020316660404205322,0.021014273166656494,-0.028958439826965332,-0.007944166660308838,11.1875,467.453125
IMG_0023_20260531180517658,model.37.coord_att,1,4,0.8965159058570862,0.8871229887008667,-0.009392917156219482,0.009392917156219482,-0.00010156631469726562,0.0002014636993408203,-0.009291350841522217,-0.009594380855560303,0.05301105976104736,0.04341667890548706,2.796875,116.86328125
IMG_0023_20260531180517658,model.38.coord_att,1,4,0.829831600189209,0.8317236304283142,0.0018920302391052246,-0.0018920302391052246,0.009526968002319336,0.0026115775108337402,-0.007634937763214111,-0.0007195472717285156,0.16318058967590332,0.1624610424041748,0.69921875,29.2158203125
IMG_0024_20260601042338501,model.36.coord_att,2,4,0.9386100769042969,0.9765390753746033,0.037928998470306396,-0.037928998470306396,-0.0004202127456665039,0.00014287233352661133,0.0383492112159729,0.037786126136779785,-0.033143043518066406,0.004643082618713379,133.0,45.9375
