image,sample_group,module,alpha_shape,over_mask_ratio,inside_over_src_mean,outside_src_mean,inside_minus_outside_src,inside_over_depth_mean,outside_depth_mean,inside_minus_outside_depth
622_xinjiang_IMG_0153_20260601031337188.jpg,normal,model.36.coord_att,80x80,0.01046875,0.9498742818832397,0.9693312048912048,-0.019456923007965088,0.050125718116760254,0.030668795108795166,0.019456923007965088
622_xinjiang_IMG_0153_20260601031337188.jpg,normal,model.37.coord_att,40x40,0.005,0.7684376239776611,0.8559615015983582,-0.08752387762069702,0.23156237602233887,0.14403849840164185,0.08752387762069702
622_xinjiang_IMG_0153_20260601031337188_realexp.jpg,overexposed,model.36.coord_att,80x80,0.04265625,0.9653316736221313,0.9695875644683838,-0.004255890846252441,0.03466832637786865,0.03041243553161621,0.004255890846252441
622_xinjiang_IMG_0153_20260601031337188_realexp.jpg,overexposed,model.37.coord_att,40x40,0.034375,0.8197688460350037,0.8572292327880859,-0.037460386753082275,0.18023115396499634,0.14277076721191406,0.037460386753082275
622_xinjiang_IMG_0153_20260601031337188_realexp.jpg,overexposed,model.38.coord_att,20x20,0.025,0.790489673614502,0.7409690022468567,0.049520671367645264,0.20951032638549805,0.2590309977531433,-0.049520671367645264
622_xinjiang_IMG_0154_20260519192144917.jpg,normal,model.36.coord_att,80x80,0.0075,0.963208019733429,0.9748771786689758,-0.011669158935546875,0.036791980266571045,0.02512282133102417,0.011669158935546875
622_xinjiang_IMG_0154_20260519192144917_realexp.jpg,overexposed,model.36.coord_att,80x80,0.008125,0.9727821350097656,0.9749642610549927,-0.0021821260452270508,0.027217864990234375,0.025035738945007324,0.0021821260452270508
622_xinjiang_IMG_0154_20260519192144917_realexp.jpg,overexposed,model.37.coord_att,40x40,0.005625,0.9500954151153564,0.8800585865974426,0.07003682851791382,0.049904584884643555,0.11994141340255737,-0.07003682851791382
622_xinjiang_IMG_0155_20260519052609412.jpg,normal,model.36.coord_att,80x80,0.0290625,0.9320138692855835,0.9701026082038879,-0.03808873891830444,0.0679861307144165,0.02989739179611206,0.03808873891830444
622_xinjiang_IMG_0155_20260519052609412.jpg,normal,model.37.coord_att,40x40,0.024375,0.7339786887168884,0.8478350043296814,-0.11385631561279297,0.2660213112831116,0.1521649956703186,0.11385631561279297
622_xinjiang_IMG_0155_20260519052609412.jpg,normal,model.38.coord_att,20x20,0.015,0.6847068667411804,0.7211517691612244,-0.036444902420043945,0.3152931332588196,0.27884823083877563,0.036444902420043945
622_xinjiang_IMG_0155_20260519052609412_realexp.jpg,overexposed,model.36.coord_att,80x80,0.05015625,0.9598453044891357,0.9709360599517822,-0.011090755462646484,0.04015469551086426,0.029063940048217773,0.011090755462646484
622_xinjiang_IMG_0155_20260519052609412_realexp.jpg,overexposed,model.37.coord_att,40x40,0.041875,0.7838758230209351,0.8467012643814087,-0.06282544136047363,0.21612417697906494,0.1532987356185913,0.06282544136047363
622_xinjiang_IMG_0155_20260519052609412_realexp.jpg,overexposed,model.38.coord_att,20x20,0.0325,0.6986037492752075,0.7203988432884216,-0.02179509401321411,0.3013962507247925,0.27960115671157837,0.02179509401321411
622_xinjiang_IMG_0157_20260519040143861.jpg,normal,model.36.coord_att,80x80,0.04125,0.974136471748352,0.9735763072967529,0.0005601644515991211,0.02586352825164795,0.02642369270324707,-0.0005601644515991211
622_xinjiang_IMG_0157_20260519040143861.jpg,normal,model.37.coord_att,40x40,0.035625,0.8719630837440491,0.8657879829406738,0.006175100803375244,0.12803691625595093,0.13421201705932617,-0.006175100803375244
622_xinjiang_IMG_0157_20260519040143861.jpg,normal,model.38.coord_att,20x20,0.025,0.6814407110214233,0.7123731374740601,-0.03093242645263672,0.31855928897857666,0.28762686252593994,0.03093242645263672
622_xinjiang_IMG_0157_20260519040143861_realexp.jpg,overexposed,model.36.coord_att,80x80,0.0440625,0.9777602553367615,0.9737335443496704,0.0040267109870910645,0.022239744663238525,0.02626645565032959,-0.0040267109870910645
622_xinjiang_IMG_0157_20260519040143861_realexp.jpg,overexposed,model.37.coord_att,40x40,0.036875,0.8774202466011047,0.8662282228469849,0.011192023754119873,0.12257975339889526,0.13377177715301514,-0.011192023754119873
622_xinjiang_IMG_0157_20260519040143861_realexp.jpg,overexposed,model.38.coord_att,20x20,0.0275,0.6803067922592163,0.7140095233917236,-0.033702731132507324,0.3196932077407837,0.28599047660827637,0.033702731132507324
622_xinjiang_IMG_0158_20260519202542257.jpg,normal,model.36.coord_att,80x80,0.0125,0.9427750706672668,0.9704003930091858,-0.027625322341918945,0.057224929332733154,0.02959960699081421,0.027625322341918945
622_xinjiang_IMG_0158_20260519202542257.jpg,normal,model.37.coord_att,40x40,0.00875,0.8505592346191406,0.8596702218055725,-0.009110987186431885,0.14944076538085938,0.1403297781944275,0.009110987186431885
622_xinjiang_IMG_0158_20260519202542257.jpg,normal,model.38.coord_att,20x20,0.01,0.5750982165336609,0.7419451475143433,-0.16684693098068237,0.4249017834663391,0.25805485248565674,0.16684693098068237
622_xinjiang_IMG_0158_20260519202542257_realexp.jpg,overexposed,model.36.coord_att,80x80,0.0340625,0.9568291902542114,0.9714771509170532,-0.014647960662841797,0.043170809745788574,0.028522849082946777,0.014647960662841797
622_xinjiang_IMG_0158_20260519202542257_realexp.jpg,overexposed,model.37.coord_att,40x40,0.02625,0.8545934557914734,0.8600268959999084,-0.005433440208435059,0.1454065442085266,0.13997310400009155,0.005433440208435059
622_xinjiang_IMG_0158_20260519202542257_realexp.jpg,overexposed,model.38.coord_att,20x20,0.02,0.5358827114105225,0.7434306144714355,-0.20754790306091309,0.46411728858947754,0.25656938552856445,0.20754790306091309
622_xinjiang_IMG_0158_20260531043257679.jpg,normal,model.36.coord_att,80x80,0.01359375,0.9376552104949951,0.9697830080986023,-0.03212779760360718,0.06234478950500488,0.030216991901397705,0.03212779760360718
622_xinjiang_IMG_0158_20260531043257679.jpg,normal,model.37.coord_att,40x40,0.008125,0.8739028573036194,0.8586248755455017,0.015277981758117676,0.12609714269638062,0.1413751244544983,-0.015277981758117676
622_xinjiang_IMG_0158_20260531043257679.jpg,normal,model.38.coord_att,20x20,0.005,0.7447834610939026,0.712406575679779,0.032376885414123535,0.2552165389060974,0.28759342432022095,-0.032376885414123535
622_xinjiang_IMG_0158_20260531043257679_realexp.jpg,overexposed,model.36.coord_att,80x80,0.0240625,0.9562747478485107,0.9704753756523132,-0.01420062780380249,0.04372525215148926,0.029524624347686768,0.01420062780380249
622_xinjiang_IMG_0158_20260531043257679_realexp.jpg,overexposed,model.37.coord_att,40x40,0.018125,0.8884976506233215,0.8593211770057678,0.02917647361755371,0.11150234937667847,0.14067882299423218,-0.02917647361755371
622_xinjiang_IMG_0158_20260531043257679_realexp.jpg,overexposed,model.38.coord_att,20x20,0.0125,0.5840452909469604,0.7084636688232422,-0.12441837787628174,0.41595470905303955,0.2915363311767578,0.12441837787628174
622_xinjiang_IMG_0158_20260601031337840.jpg,normal,model.36.coord_att,80x80,0.06125,0.9487305283546448,0.9660042524337769,-0.01727372407913208,0.051269471645355225,0.033995747566223145,0.01727372407913208
622_xinjiang_IMG_0158_20260601031337840.jpg,normal,model.37.coord_att,40x40,0.0525,0.8078015446662903,0.8584089279174805,-0.050607383251190186,0.19219845533370972,0.14159107208251953,0.050607383251190186
622_xinjiang_IMG_0158_20260601031337840.jpg,normal,model.38.coord_att,20x20,0.0475,0.4871530532836914,0.723777711391449,-0.23662465810775757,0.5128469467163086,0.276222288608551,0.23662465810775757
622_xinjiang_IMG_0158_20260601031337840_realexp.jpg,overexposed,model.36.coord_att,80x80,0.07515625,0.9662070274353027,0.9667689800262451,-0.0005619525909423828,0.033792972564697266,0.03323101997375488,0.0005619525909423828
622_xinjiang_IMG_0158_20260601031337840_realexp.jpg,overexposed,model.37.coord_att,40x40,0.07,0.833511471748352,0.8571107983589172,-0.023599326610565186,0.16648852825164795,0.14288920164108276,0.023599326610565186
622_xinjiang_IMG_0158_20260601031337840_realexp.jpg,overexposed,model.38.coord_att,20x20,0.055,0.4837360084056854,0.7261536717414856,-0.24241766333580017,0.5162639915943146,0.2738463282585144,0.24241766333580017
622_xinjiang_IMG_0158_20260602202643394.jpg,normal,model.36.coord_att,80x80,0.00578125,0.830302357673645,0.9663131237030029,-0.1360107660293579,0.16969764232635498,0.03368687629699707,0.1360107660293579
622_xinjiang_IMG_0158_20260602202643394_realexp.jpg,overexposed,model.36.coord_att,80x80,0.00734375,0.8571067452430725,0.9670197367668152,-0.10991299152374268,0.1428932547569275,0.032980263233184814,0.10991299152374268
622_xinjiang_IMG_0159_20260601191319286.jpg,normal,model.36.coord_att,80x80,0.01359375,0.9089999794960022,0.9686455130577087,-0.05964553356170654,0.0910000205039978,0.03135448694229126,0.05964553356170654
622_xinjiang_IMG_0159_20260601191319286.jpg,normal,model.37.coord_att,40x40,0.009375,0.7031921148300171,0.8425744771957397,-0.13938236236572266,0.2968078851699829,0.15742552280426025,0.13938236236572266
622_xinjiang_IMG_0159_20260601191319286.jpg,normal,model.38.coord_att,20x20,0.005,0.43393900990486145,0.6535601019859314,-0.21962109208106995,0.5660609900951385,0.3464398980140686,0.21962109208106995
622_xinjiang_IMG_0159_20260601191319286_realexp.jpg,overexposed,model.36.coord_att,80x80,0.0375,0.9455216526985168,0.9701728820800781,-0.02465122938156128,0.054478347301483154,0.029827117919921875,0.02465122938156128
622_xinjiang_IMG_0159_20260601191319286_realexp.jpg,overexposed,model.37.coord_att,40x40,0.0325,0.696407675743103,0.8472399711608887,-0.15083229541778564,0.303592324256897,0.15276002883911133,0.15083229541778564
622_xinjiang_IMG_0159_20260601191319286_realexp.jpg,overexposed,model.38.coord_att,20x20,0.0275,0.40636634826660156,0.6642917990684509,-0.25792545080184937,0.5936336517333984,0.3357082009315491,0.25792545080184937
622_xinjiang_IMG_0161_20260531191859669.jpg,normal,model.36.coord_att,80x80,0.01640625,0.9388650059700012,0.9700295329093933,-0.03116452693939209,0.06113499402999878,0.02997046709060669,0.03116452693939209
622_xinjiang_IMG_0161_20260531191859669.jpg,normal,model.37.coord_att,40x40,0.011875,0.8034319877624512,0.8530845046043396,-0.04965251684188843,0.19656801223754883,0.1469154953956604,0.04965251684188843
622_xinjiang_IMG_0161_20260531191859669.jpg,normal,model.38.coord_att,20x20,0.01,0.6563274264335632,0.696965217590332,-0.0406377911567688,0.34367257356643677,0.30303478240966797,0.0406377911567688
622_xinjiang_IMG_0161_20260602202643711.jpg,normal,model.36.coord_att,80x80,0.0071875,0.8833234310150146,0.9639476537704468,-0.08062422275543213,0.11667656898498535,0.03605234622955322,0.08062422275543213
622_xinjiang_IMG_0161_20260602202643711_realexp.jpg,overexposed,model.36.coord_att,80x80,0.01453125,0.9282315969467163,0.964573085308075,-0.03634148836135864,0.07176840305328369,0.03542691469192505,0.03634148836135864
622_xinjiang_IMG_0161_20260602202643711_realexp.jpg,overexposed,model.37.coord_att,40x40,0.01,0.7881011962890625,0.8479061126708984,-0.05980491638183594,0.2118988037109375,0.15209388732910156,0.05980491638183594
622_xinjiang_IMG_0166_20260531193004424.jpg,normal,model.36.coord_att,80x80,0.0078125,0.9363044500350952,0.9649250507354736,-0.028620600700378418,0.06369554996490479,0.03507494926452637,0.028620600700378418
622_xinjiang_IMG_0166_20260531193004424.jpg,normal,model.37.coord_att,40x40,0.005,0.819953441619873,0.8565405607223511,-0.03658711910247803,0.18004655838012695,0.14345943927764893,0.03658711910247803
622_xinjiang_IMG_0166_20260531193004424.jpg,normal,model.38.coord_att,20x20,0.005,0.33972346782684326,0.7145388126373291,-0.37481534481048584,0.6602765321731567,0.2854611873626709,0.37481534481048584
622_xinjiang_IMG_0166_20260531193004424_realexp.jpg,overexposed,model.36.coord_att,80x80,0.0103125,0.950444757938385,0.9652512669563293,-0.014806509017944336,0.04955524206161499,0.034748733043670654,0.014806509017944336
622_xinjiang_IMG_0166_20260531193004424_realexp.jpg,overexposed,model.37.coord_att,40x40,0.006875,0.824805498123169,0.8573701977729797,-0.03256469964981079,0.17519450187683105,0.14262980222702026,0.03256469964981079
622_xinjiang_IMG_0166_20260531193004424_realexp.jpg,overexposed,model.38.coord_att,20x20,0.005,0.350253164768219,0.717151403427124,-0.36689823865890503,0.649746835231781,0.282848596572876,0.36689823865890503
622_xinjiang_IMG_0168_20260602200350004.jpg,normal,model.36.coord_att,80x80,0.0065625,0.9557961225509644,0.9699585437774658,-0.014162421226501465,0.044203877449035645,0.03004145622253418,0.014162421226501465
622_xinjiang_IMG_0168_20260602200350004_realexp.jpg,overexposed,model.36.coord_att,80x80,0.0090625,0.9568332433700562,0.9701384902000427,-0.013305246829986572,0.04316675662994385,0.029861509799957275,0.013305246829986572
622_xinjiang_IMG_0169_20260601201854546.jpg,normal,model.36.coord_att,80x80,0.01703125,0.9287530779838562,0.9654958844184875,-0.03674280643463135,0.0712469220161438,0.03450411558151245,0.03674280643463135
622_xinjiang_IMG_0169_20260601201854546.jpg,normal,model.37.coord_att,40x40,0.0125,0.8984075784683228,0.852552056312561,0.04585552215576172,0.10159242153167725,0.14744794368743896,-0.04585552215576172
622_xinjiang_IMG_0169_20260601201854546.jpg,normal,model.38.coord_att,20x20,0.0075,0.6503061652183533,0.7133867740631104,-0.06308060884475708,0.34969383478164673,0.28661322593688965,0.06308060884475708
622_xinjiang_IMG_0169_20260601201854546_realexp.jpg,overexposed,model.36.coord_att,80x80,0.0175,0.9386306405067444,0.9655936360359192,-0.026962995529174805,0.061369359493255615,0.03440636396408081,0.026962995529174805
622_xinjiang_IMG_0169_20260601201854546_realexp.jpg,overexposed,model.37.coord_att,40x40,0.01375,0.906576931476593,0.852747917175293,0.05382901430130005,0.09342306852340698,0.14725208282470703,-0.05382901430130005
