epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3
60,13308.791,0.40874,0.46816,0.32176,0,0.90015,0.88404,0.91844,0.81569,0.90216,0.88586,0.91828,0.78257,0.39046,0.65023,0.32648,0,0.0080353,0.0080353,0.0080353,0.0080353
61,13489.473,0.41395,0.47587,0.32059,0,0.89147,0.89523,0.91988,0.81659,0.91394,0.87849,0.91897,0.78412,0.38934,0.6472,0.32378,0,0.008002,0.008002,0.008002,0.008002
62,13670.283,0.40615,0.46031,0.3195,0,0.89794,0.88539,0.91882,0.81682,0.91094,0.87638,0.91798,0.78376,0.38921,0.6512,0.32432,0,0.0079687,0.0079687,0.0079687,0.0079687
63,13852.741,0.40613,0.4557,0.31214,0,0.89392,0.89248,0.9185,0.81643,0.89842,0.88817,0.91803,0.78362,0.38824,0.65072,0.3231,0,0.0079354,0.0079354,0.0079354,0.0079354
64,14037.126,0.40268,0.45014,0.3083,0,0.89597,0.88798,0.91848,0.81683,0.90032,0.88778,0.91893,0.78289,0.38815,0.65352,0.32339,0,0.0079021,0.0079021,0.0079021,0.0079021
65,14223.25,0.40119,0.45436,0.30498,0,0.90502,0.88254,0.91924,0.81681,0.9058,0.88472,0.91984,0.78375,0.38867,0.66142,0.32458,0,0.0078688,0.0078688,0.0078688,0.0078688
66,14409.245,0.4098,0.47198,0.31442,0,0.91087,0.87617,0.91941,0.81645,0.91248,0.87744,0.91965,0.78367,0.38785,0.66205,0.32374,0,0.0078355,0.0078355,0.0078355,0.0078355
67,14596.829,0.40228,0.4558,0.31243,0,0.91087,0.87953,0.91913,0.81686,0.91201,0.88052,0.91901,0.78328,0.38665,0.66087,0.32252,0,0.0078022,0.0078022,0.0078022,0.0078022
68,14778.907,0.40159,0.45814,0.30769,0,0.91297,0.87756,0.91932,0.81767,0.91243,0.88235,0.91939,0.78398,0.38584,0.6599,0.32127,0,0.0077689,0.0077689,0.0077689,0.0077689
69,14958.877,0.40578,0.47442,0.30705,0,0.91192,0.87748,0.91926,0.81869,0.91297,0.88189,0.92104,0.78443,0.38504,0.65533,0.32061,0,0.0077356,0.0077356,0.0077356,0.0077356
70,15145.271,0.40443,0.46919,0.31128,0,0.90181,0.88282,0.91873,0.81815,0.91166,0.87898,0.92039,0.78382,0.38493,0.65291,0.32046,0,0.0077023,0.0077023,0.0077023,0.0077023
71,15330.995,0.39587,0.44403,0.30293,0,0.91353,0.87221,0.91835,0.81808,0.91668,0.87485,0.92018,0.78468,0.38437,0.65427,0.3207,0,0.007669,0.007669,0.007669,0.007669
72,15519.565,0.39657,0.4551,0.30051,0,0.91036,0.87688,0.91876,0.81848,0.91326,0.87878,0.92036,0.7856,0.38371,0.65624,0.32021,0,0.0076357,0.0076357,0.0076357,0.0076357
73,15705.612,0.39847,0.46707,0.3124,0,0.90777,0.88094,0.91969,0.81961,0.91328,0.87715,0.92114,0.78616,0.38298,0.65767,0.31932,0,0.0076024,0.0076024,0.0076024,0.0076024
74,15891.945,0.39739,0.45263,0.30086,0,0.90397,0.88505,0.92016,0.81982,0.90875,0.88253,0.9214,0.78707,0.38219,0.65469,0.31891,0,0.0075691,0.0075691,0.0075691,0.0075691
75,16084,0.39481,0.4468,0.29996,0,0.89998,0.89013,0.92061,0.82088,0.90201,0.8921,0.92191,0.78808,0.38147,0.65481,0.31901,0,0.0075358,0.0075358,0.0075358,0.0075358
76,16271.261,0.39216,0.44414,0.29594,0,0.90178,0.88733,0.92039,0.8213,0.90365,0.88839,0.92157,0.78812,0.38117,0.65515,0.31841,0,0.0075025,0.0075025,0.0075025,0.0075025
77,16459.225,0.39852,0.4617,0.3017,0,0.91611,0.87473,0.92035,0.82076,0.91859,0.87682,0.92187,0.78936,0.38083,0.65615,0.31738,0,0.0074692,0.0074692,0.0074692,0.0074692
78,16646.444,0.39115,0.44865,0.29743,0,0.90176,0.88621,0.92057,0.82125,0.9055,0.88614,0.92271,0.78967,0.38029,0.65655,0.31707,0,0.0074359,0.0074359,0.0074359,0.0074359
79,16832.005,0.38868,0.43099,0.29536,0,0.89873,0.89176,0.92116,0.82163,0.90033,0.89281,0.92296,0.79033,0.37989,0.65668,0.31694,0,0.0074026,0.0074026,0.0074026,0.0074026
80,17020.411,0.38923,0.43555,0.29114,0,0.89582,0.89423,0.92101,0.82177,0.89776,0.89513,0.92243,0.79019,0.38005,0.65633,0.31762,0,0.0073693,0.0073693,0.0073693,0.0073693
81,17204.454,0.38419,0.43234,0.29057,0,0.89917,0.88953,0.92115,0.82161,0.90567,0.88783,0.92204,0.79013,0.38012,0.65903,0.31721,0,0.007336,0.007336,0.007336,0.007336
82,17390.15,0.38083,0.42899,0.28736,0,0.90388,0.88556,0.9207,0.82124,0.90742,0.8871,0.92157,0.79019,0.3798,0.65721,0.31672,0,0.0073027,0.0073027,0.0073027,0.0073027
83,17572.155,0.38539,0.43484,0.28737,0,0.90365,0.88593,0.92072,0.82157,0.90751,0.8873,0.92182,0.79105,0.37941,0.65876,0.31681,0,0.0072694,0.0072694,0.0072694,0.0072694
84,17757.226,0.38071,0.44079,0.29117,0,0.90641,0.88382,0.9209,0.82174,0.91236,0.88554,0.92206,0.79119,0.37893,0.65804,0.31707,0,0.0072361,0.0072361,0.0072361,0.0072361
85,17940.32,0.3863,0.44816,0.29379,0,0.90491,0.88547,0.92084,0.82222,0.90919,0.88637,0.92223,0.79121,0.37859,0.66062,0.31779,0,0.0072028,0.0072028,0.0072028,0.0072028
86,18127.348,0.37976,0.42071,0.28568,0,0.9074,0.88267,0.92046,0.82215,0.91167,0.88439,0.92197,0.79148,0.37826,0.66206,0.31854,0,0.0071695,0.0071695,0.0071695,0.0071695
87,18313.334,0.38258,0.42933,0.28378,0,0.91068,0.88073,0.9203,0.8221,0.91484,0.88258,0.92224,0.79145,0.37829,0.66271,0.31884,0,0.0071362,0.0071362,0.0071362,0.0071362
88,18497.666,0.37851,0.42887,0.28845,0,0.90854,0.88392,0.92054,0.82207,0.91286,0.88355,0.92235,0.79164,0.37783,0.66237,0.3184,0,0.0071029,0.0071029,0.0071029,0.0071029
89,18684.668,0.38494,0.4427,0.28721,0,0.90996,0.88209,0.9207,0.82271,0.91303,0.88417,0.92217,0.79172,0.37758,0.66278,0.31781,0,0.0070696,0.0070696,0.0070696,0.0070696
90,18867.697,0.38016,0.43065,0.2876,0,0.9108,0.88365,0.92031,0.82269,0.91415,0.88608,0.92259,0.79205,0.37734,0.66354,0.31747,0,0.0070363,0.0070363,0.0070363,0.0070363
91,19051.719,0.38416,0.44086,0.29279,0,0.91184,0.88252,0.92024,0.82279,0.91529,0.88309,0.92137,0.79185,0.37716,0.66412,0.3174,0,0.007003,0.007003,0.007003,0.007003
92,19238.496,0.37853,0.43327,0.2894,0,0.91161,0.88127,0.92015,0.82267,0.91598,0.88381,0.92247,0.79191,0.377,0.66538,0.31742,0,0.0069697,0.0069697,0.0069697,0.0069697
93,19426.803,0.37123,0.41915,0.28241,0,0.90749,0.8841,0.91987,0.82288,0.91956,0.88202,0.92303,0.79175,0.37696,0.66514,0.31751,0,0.0069364,0.0069364,0.0069364,0.0069364
94,19615.982,0.37271,0.41982,0.28076,0,0.91253,0.88169,0.92006,0.82331,0.91533,0.88352,0.92255,0.79158,0.37699,0.6651,0.31736,0,0.0069031,0.0069031,0.0069031,0.0069031
95,19802.641,0.36937,0.4277,0.28101,0,0.91619,0.87798,0.91996,0.82314,0.91961,0.88089,0.9225,0.79153,0.37685,0.66559,0.31719,0,0.0068698,0.0068698,0.0068698,0.0068698
96,19992.246,0.37509,0.43205,0.28323,0,0.91577,0.88064,0.92,0.82328,0.91855,0.88293,0.92281,0.79119,0.37674,0.66585,0.31707,0,0.0068365,0.0068365,0.0068365,0.0068365
97,20173.506,0.37235,0.42292,0.28043,0,0.91543,0.88124,0.91992,0.8233,0.91857,0.88359,0.92284,0.79093,0.37645,0.66643,0.31709,0,0.0068032,0.0068032,0.0068032,0.0068032
98,20362.237,0.37031,0.42408,0.27584,0,0.91546,0.88048,0.91992,0.82366,0.91971,0.88272,0.92302,0.79113,0.3763,0.66646,0.31712,0,0.0067699,0.0067699,0.0067699,0.0067699
99,20546.536,0.36944,0.42968,0.27816,0,0.91726,0.88011,0.91982,0.8234,0.92067,0.88302,0.92276,0.79155,0.37629,0.66703,0.31689,0,0.0067366,0.0067366,0.0067366,0.0067366
100,20734.321,0.3726,0.42383,0.2788,0,0.91375,0.88186,0.91988,0.82349,0.92034,0.88253,0.92271,0.79196,0.37641,0.668,0.31726,0,0.0067033,0.0067033,0.0067033,0.0067033
101,20920.332,0.36498,0.41869,0.27789,0,0.91161,0.88282,0.91979,0.82331,0.92145,0.88142,0.92241,0.79162,0.3765,0.66787,0.3173,0,0.00667,0.00667,0.00667,0.00667
102,21106.914,0.36401,0.42249,0.27733,0,0.91214,0.88273,0.91964,0.82331,0.92041,0.88089,0.92206,0.79141,0.37633,0.66898,0.31739,0,0.0066367,0.0066367,0.0066367,0.0066367
103,21291.975,0.36497,0.42598,0.27507,0,0.91361,0.88268,0.92004,0.82323,0.92067,0.88007,0.9221,0.79125,0.37651,0.67032,0.31758,0,0.0066034,0.0066034,0.0066034,0.0066034
104,21478.735,0.36445,0.41229,0.27408,0,0.91382,0.88227,0.91996,0.82314,0.91939,0.88172,0.92179,0.7913,0.37666,0.66973,0.31748,0,0.0065701,0.0065701,0.0065701,0.0065701
105,21717.078,0.36871,0.43039,0.27876,0,0.91327,0.88264,0.91994,0.82386,0.91635,0.88473,0.92196,0.79206,0.37633,0.67026,0.31709,0,0.0065368,0.0065368,0.0065368,0.0065368
106,22025.076,0.36111,0.40947,0.27678,0,0.91311,0.88245,0.91971,0.82338,0.9166,0.8845,0.92198,0.79203,0.37644,0.67076,0.31725,0,0.0065035,0.0065035,0.0065035,0.0065035
107,22327.963,0.36552,0.4177,0.27648,0,0.91357,0.88249,0.91989,0.82357,0.91655,0.88491,0.92192,0.79206,0.37583,0.67121,0.31685,0,0.0064702,0.0064702,0.0064702,0.0064702
108,22625.074,0.3685,0.4201,0.27976,0,0.91328,0.88221,0.9198,0.82372,0.91616,0.88457,0.92188,0.79245,0.37605,0.67209,0.31683,0,0.0064369,0.0064369,0.0064369,0.0064369
109,22930.61,0.36286,0.42179,0.27449,0,0.91322,0.8821,0.91979,0.82367,0.91638,0.88462,0.92205,0.7926,0.37611,0.67261,0.31678,0,0.0064036,0.0064036,0.0064036,0.0064036
110,23232.674,0.36322,0.41364,0.27354,0,0.91251,0.88246,0.91997,0.82395,0.91608,0.88483,0.92233,0.79271,0.37609,0.67257,0.31707,0,0.0063703,0.0063703,0.0063703,0.0063703
111,23534.72,0.35058,0.40168,0.26804,0,0.91546,0.87974,0.92014,0.82377,0.91584,0.88446,0.92247,0.79254,0.37649,0.67254,0.31724,0,0.006337,0.006337,0.006337,0.006337
112,23832.153,0.35428,0.40902,0.2655,0,0.91541,0.87945,0.91986,0.82352,0.91577,0.88439,0.92252,0.79281,0.37686,0.67348,0.31767,0,0.0063037,0.0063037,0.0063037,0.0063037
113,24125.748,0.35012,0.3926,0.26824,0,0.91552,0.87938,0.92019,0.82386,0.91849,0.88193,0.92223,0.7933,0.37661,0.67395,0.31765,0,0.0062704,0.0062704,0.0062704,0.0062704
114,24423.862,0.35822,0.41723,0.26184,0,0.91511,0.87881,0.92028,0.8239,0.91725,0.88295,0.92228,0.79342,0.37669,0.6747,0.31769,0,0.0062371,0.0062371,0.0062371,0.0062371
115,24723.961,0.35783,0.41804,0.27036,0,0.90502,0.88676,0.92026,0.82383,0.91655,0.88278,0.92238,0.79329,0.3763,0.67565,0.3175,0,0.0062038,0.0062038,0.0062038,0.0062038
116,25286.108,0.3516,0.40037,0.26483,0,0.90733,0.88464,0.92007,0.82366,0.91577,0.88349,0.92206,0.79337,0.37633,0.67596,0.31751,0,0.0061705,0.0061705,0.0061705,0.0061705
117,25912.646,0.35863,0.41748,0.27185,0,0.90957,0.88283,0.91983,0.82365,0.91363,0.88492,0.92189,0.7933,0.37654,0.67646,0.31766,0,0.0061372,0.0061372,0.0061372,0.0061372
118,26335.486,0.35344,0.4037,0.26501,0,0.90933,0.88201,0.91976,0.82371,0.91021,0.88608,0.92186,0.79299,0.3768,0.67695,0.31776,0,0.0061039,0.0061039,0.0061039,0.0061039
119,26523.211,0.35054,0.40086,0.26366,0,0.90784,0.88247,0.91979,0.82361,0.91086,0.8857,0.92205,0.79294,0.37676,0.67796,0.31788,0,0.0060706,0.0060706,0.0060706,0.0060706
120,26706.492,0.34799,0.40143,0.26215,0,0.91747,0.87451,0.91947,0.82339,0.92178,0.87724,0.92198,0.79271,0.37679,0.67821,0.31811,0,0.0060373,0.0060373,0.0060373,0.0060373
121,26892.631,0.34652,0.39897,0.26096,0,0.91703,0.87493,0.91952,0.82354,0.92101,0.87724,0.92193,0.79293,0.37687,0.67898,0.31832,0,0.006004,0.006004,0.006004,0.006004
122,27075.477,0.34443,0.39591,0.26609,0,0.91716,0.87479,0.91915,0.82347,0.92101,0.87701,0.92171,0.79263,0.37708,0.6792,0.31865,0,0.0059707,0.0059707,0.0059707,0.0059707
123,27262.414,0.34136,0.40808,0.26095,0,0.91571,0.87639,0.91963,0.82359,0.92277,0.87779,0.92229,0.79306,0.37732,0.67991,0.31879,0,0.0059374,0.0059374,0.0059374,0.0059374
124,27450.386,0.33914,0.39126,0.25506,0,0.91528,0.87794,0.91964,0.82371,0.91897,0.87802,0.92193,0.7929,0.37756,0.68029,0.3189,0,0.0059041,0.0059041,0.0059041,0.0059041
125,27641.081,0.33723,0.38234,0.25501,0,0.91645,0.87552,0.91949,0.8236,0.92026,0.87826,0.92244,0.7931,0.37769,0.6811,0.31908,0,0.0058708,0.0058708,0.0058708,0.0058708
126,27825.043,0.34046,0.40428,0.25838,0,0.9163,0.87539,0.91925,0.8236,0.92031,0.87879,0.92253,0.79285,0.3775,0.68212,0.31913,0,0.0058375,0.0058375,0.0058375,0.0058375
127,28009.581,0.34233,0.40492,0.26036,0,0.91462,0.8779,0.91931,0.82387,0.91775,0.88054,0.92245,0.79305,0.37712,0.6828,0.31917,0,0.0058042,0.0058042,0.0058042,0.0058042
128,28195.401,0.33592,0.38461,0.25482,0,0.91577,0.87689,0.91896,0.82366,0.91884,0.87953,0.92211,0.79295,0.37687,0.6826,0.31885,0,0.0057709,0.0057709,0.0057709,0.0057709
